f0,f1,x0
-0.9,1048.6,0.1
-0.7333333333333333,216.7,0.632046079174488
-0.8666666666666667,262.8,0.481583573518233
-0.8666666666666667,262.8,0.4826790407293336
-0.7333333333333333,216.7,0.6325342699965828
-0.8333333333333334,250.0,0.49440083478604924
-0.8,226.83333333333334,0.5589818832648812
-0.7666666666666667,221.5,0.6485113246131687
-0.8666666666666667,262.8,0.48268593883963423
-0.7666666666666667,221.5,0.6482613398667321
-0.7333333333333333,216.7,0.6327842547430196
-0.7333333333333333,216.7,0.634387001061332
-0.8666666666666667,262.8,0.4829638195610003
-0.8666666666666667,262.8,0.4828192589714001
-0.6666666666666666,205.1,0.7201655948887986
-0.8666666666666667,262.8,0.48190863399295675
-0.7,207.76666666666668,0.6917006774617154
-0.7333333333333333,216.7,0.6322334478065441
-0.7333333333333333,216.7,0.6324014284571735
