objective_2,genotype_1,genotype_2,step
332.6333333333333,0.6,0.7,1
1729.8,0.3,0.2,2
267.46666666666664,1.0,0.5,3
297.06666666666666,0.7,0.4,4
4358.233333333334,0.4,0.1,5
285.9,0.9,0.5,6
4358.233333333334,0.2,0.1,7
294.7,0.6,0.4,8
4358.0,1.0,0.0,9
303.3333333333333,1.0,0.9,10
269.3,0.7,0.5,11
327.93333333333334,0.4,0.8,12
4361.566666666667,0.3,0.0,13
263.1,0.7,1.0,14
5102.366666666667,0.9,0.0,15
3502.9333333333334,0.2794499331566633,0.10946099677848456,16
300.93333333333334,0.2,1.0,17
318.6,1.0,0.7739218551507234,18
294.7,0.3,0.4,19
294.8333333333333,0.7,0.9,20
300.8,0.594350140720497,0.6523876956139472,21
4378.4,0.8786137697355331,0.0,22
4373.566666666667,0.3,0.1,23
5075.0,0.7,0.006968808525843362,24
294.93333333333334,0.4,0.4,25
311.3333333333333,0.6,0.8363368590672329,26
4091.7,0.9589843512996191,0.0,27
260.6666666666667,0.2,0.5,28
579.8333333333334,1.0,0.4,29
269.73333333333335,0.9411120509833463,0.5,30
310.1333333333333,0.4311674126720858,0.7957305272940685,31
320.43333333333334,0.9159417438989179,0.7600708295186906,32
253.36666666666667,0.39168559984066686,0.5015165703992602,33
294.7,0.7140859105796646,0.39158843778563374,34
253.56666666666666,0.8645308244739756,0.5074302695790907,35
282.73333333333335,0.305866991265337,0.3695748904825616,36
534.7,0.19146795959005297,0.5,37
305.3333333333333,0.6137161295684107,0.4,38
305.26666666666665,0.7,0.4617353854705847,39
298.76666666666665,0.2,0.39631038863522483,40
311.03333333333336,0.585914089420329,1.0,41
313.43333333333334,0.4015219567561082,0.8304231045940949,42
262.4,0.2,0.536901435428793,43
289.56666666666666,0.829763183738328,0.5,44
4387.033333333334,0.9411120509833463,0.00018324391621231672,45
1434.8666666666666,0.4,0.20339787622527136,46
259.56666666666666,0.19955326974564205,0.5013346649233559,47
254.76666666666668,0.9151373437159078,0.5084909820337876,48
266.9,0.1796704504509265,0.5166554779159109,49
270.46666666666664,0.15232075850133064,0.5569028612313832,50
273.96666666666664,0.9411120509833463,0.4754522931955938,51
258.0,0.3864834659451234,0.5195993411515583,52
281.23333333333335,0.9589843512996191,0.5264497397589473,53
321.8333333333333,0.49435015629488915,0.7489898193878289,54
272.1333333333333,0.37074687206822,0.5001819054759044,55
326.2,0.8653352246569218,0.7590101169070546,56
259.26666666666665,0.8645308244739756,0.5371372171622675,57
4500.833333333333,0.9978721263791709,0.006968808525843362,58
276.8666666666667,0.39168559984066686,0.49998614773567096,59
294.1666666666667,1.0,0.406377920002157,60
261.3,0.9151373437159078,0.5098519093167193,61
2020.2,0.29976694634032347,0.2029903169770335,62
2559.733333333333,0.8556817574735784,0.20129075498877178,63
265.53333333333336,0.4737858559043032,0.5149586820158144,64
253.23333333333332,0.36028443158790263,0.5584194282244543,65
2008.3666666666666,0.9589843512996191,0.1794530593677452,66
261.3333333333333,0.3837073696303959,0.5028087296679793,67
297.46666666666664,0.3864834659451234,0.7873753815450105,68
332.56666666666666,0.688698979392427,0.7000165876635219,69
2270.766666666667,0.37884740598944455,0.20040755924823786,70
257.4,0.3088330025991966,0.5061395222973,71
311.7,0.8645308244739756,0.7509223973841376,72
289.8,0.946180929836442,0.7670161010300542,73
3674.5,0.4,0.002936706709859416,74
6109.1,0.9589843512996191,0.07008489777620167,75
2026.4666666666667,0.2,0.20210288937340776,76
266.1,0.3589913431200505,0.5524307462813602,77
2711.633333333333,0.8485492533181855,0.20129960174615547,78
254.06666666666666,0.3794362439127391,0.5085895692960509,79
253.73333333333332,0.346725487110786,0.5653938212599325,80
268.1666666666667,0.8556817574735784,0.4841483955773217,81
2024.2333333333333,0.35961431788160614,0.21627651088060965,82
275.6,0.8645308244739756,0.5247800944656398,83
574.0333333333333,0.5731975573333525,0.45069241275701105,84
