objective_1,genotype_1,genotype_2,step
-0.8,0.6,0.4,1
-0.6,0.3,0.1,2
-0.7666666666666667,1.0,0.7,3
-0.7666666666666667,0.7,0.5,4
-0.7333333333333333,0.4,0.1,5
-0.7,0.9,0.0,6
-0.7666666666666667,0.2,0.9,7
-0.8,0.6,0.5,8
-0.7666666666666667,1.0,0.8,9
-0.8666666666666667,1.0,0.0,10
-0.7,0.7,1.0,11
-0.7,0.4,1.0,12
-0.7,0.3,0.9,13
-0.6,0.7,0.2,14
-0.7,0.7,0.6,15
-0.8,0.2,0.3,16
-0.7666666666666667,0.5,0.8,17
-0.8,0.11371647623919715,0.36173663262702604,18
-0.7,0.4,0.9849172716105026,19
-0.7666666666666667,0.6,0.931215712400185,20
-0.7333333333333333,0.6,0.3,21
-0.7666666666666667,0.8704496233223258,0.6618723424821413,22
-0.9333333333333333,0.934421353674584,0.0,23
-0.7333333333333333,0.6513083471258748,0.6,24
-0.7333333333333333,0.19285601755971465,0.9,25
-0.8,0.1,0.3178914734400336,26
-0.7,0.2,1.0,27
-0.7333333333333333,0.3,0.9151740922974844,28
-0.7,0.385581009404372,1.0,29
-0.6,1.0,0.10593247221477065,30
-0.8,0.6811097663966852,0.5,31
-0.8666666666666667,0.9,0.8,32
-0.7,0.7,0.9,33
-0.8666666666666667,0.1,0.6183181890997759,34
-0.8333333333333334,0.6345090533748108,0.4008909841118388,35
-0.7333333333333333,1.0,0.0016386701891661025,36
-0.7666666666666667,0.1,0.7501593949265942,37
-0.7333333333333333,0.19285601755971465,0.931215712400185,38
-0.7,0.07067553624880411,0.9472637200612773,39
-0.8666666666666667,0.9938251443587276,0.48358352639059526,40
-0.8,0.550917942759096,0.4008909841118388,41
-0.8333333333333334,0.0712514874740651,0.36173663262702604,42
-0.8,0.1,0.32271252142796714,43
-0.8333333333333334,0.9272058040637191,0.0,44
-0.7333333333333333,0.934421353674584,0.01789147344025921,45
-0.7,0.4,0.9147102424044495,46
-0.6666666666666666,0.6660394872430275,0.02631964864884222,47
-0.8333333333333334,0.1317519373890677,0.46766910462644196,48
-0.8666666666666667,0.9771308776159462,0.0,49
-0.7333333333333333,0.2,0.8810928531387248,50
-0.7666666666666667,0.8698439613794671,0.6618723424821413,51
-0.9,0.9371246955516053,0.0,52
-0.8333333333333334,0.1,0.2550805407067845,53
-0.7333333333333333,0.18627552782841433,0.7506236487256013,54
-0.8333333333333334,0.9996783588213889,0.00014306613955863411,55
-0.7,0.4369014614831401,0.9849172716105026,56
-0.7666666666666667,0.015817629208667715,0.6183181890997759,57
-0.8,0.1,0.5801905316763208,58
-0.7333333333333333,0.13569869218373937,0.9,59
-0.7,0.9782090016495678,0.9319447699733884,60
-0.8,0.9767567974535464,0.47693577435409307,61
-0.7333333333333333,0.913202341156946,0.9111117068769768,62
