objective_2,genotype_1,step
376.6,0.6,1
2450.1666666666665,0.3,2
224.93333333333334,1.0,3
349.6,0.7,4
362.9,0.4,5
322.76666666666665,0.9,6
1760.9333333333334,0.2,7
631.5,0.5,8
3426.0333333333333,0.1,9
3700.3333333333335,0.07480013262868304,10
938.3333333333334,0.36045038009902886,11
374.3,0.4518948239573125,12
209.7,0.9927628834444233,13
2134.3,0.29309693916937773,14
2800.9666666666667,0.2821456307917399,15
335.8666666666667,0.8468843916152407,16
678.7333333333333,0.4159379267755045,17
255.63333333333333,0.9749249408671261,18
355.8,0.46048409321730555,19
2766.4,0.2759517238848446,20
1948.9333333333334,0.2028002792911308,21
367.2,0.6338787180601747,22
1221.5333333333333,0.40217620911928476,23
4244.766666666666,0.09128011595286015,24
335.76666666666665,0.7776583637637835,25
1504.3333333333333,0.34976039788548496,26
645.4666666666667,0.659028099626705,27
3314.766666666667,0.05982846625920526,28
2524.6,0.28759185419916217,29
1504.3333333333333,0.35040583449318397,30
399.56666666666666,0.6266416015099394,31
630.2333333333333,0.4932427000304821,32
1228.7,0.3869625490011575,33
2134.3,0.29309693916937773,34
359.6333333333333,0.4815001932456761,35
2517.9333333333334,0.15050663060701436,36
224.93333333333334,0.9991256604147208,37
1511.6333333333334,0.39540713794676297,38
926.7666666666667,0.3978060386874732,39
452.73333333333335,0.9505911576036125,40
443.56666666666666,0.9432031435192515,41
2709.4,0.28813639181925516,42
637.1666666666666,0.4682773466853948,43
1511.6333333333334,0.39373116537629155,44
4461.866666666667,0.09562729818000863,45
1994.9333333333334,0.21190576407149497,46
234.46666666666667,0.9945050844202081,47
2343.9,0.20530011569278553,48
1804.7,0.3324920712331133,49
365.2,0.47882798424817097,50
338.5,0.8698810527910462,51
365.26666666666665,0.5107510006239556,52
359.6333333333333,0.4821456298210068,53
3945.9666666666667,0.28390997456536404,54
373.03333333333336,0.498529756826819,55
372.26666666666665,0.6682782026525922,56
209.7,0.9908946034078724,57
240.9,0.958123203441413,58
363.26666666666665,0.7522867114101806,59
2055.3333333333335,0.3417216271487963,60
234.46666666666667,0.9959623428255607,61
2243.4666666666667,0.26810446632090057,62
1229.0333333333333,0.3512968186087312,63
234.46666666666667,0.9949812342774393,64
374.4,0.6348439224936681,65
651.7,0.41816244392291024,66
374.3,0.45208897042226026,67
234.46666666666667,0.9954715620041504,68
1504.3333333333333,0.34974322850138784,69
649.1666666666666,0.3928712431443392,70
633.8333333333334,0.4749085210259487,71
224.93333333333334,0.9983738762332612,72
209.7,0.9914155493014534,73
1687.9666666666667,0.2535729551546312,74
435.7,0.9176469934752844,75
2444.1,0.30734288201407167,76
373.03333333333336,0.498529756826819,77
617.4333333333333,0.7349282458427515,78
224.93333333333334,0.9993081210315182,79
372.26666666666665,0.6682782026525922,80
403.73333333333335,0.4394332103537213,81
364.3,0.5344850296938299,82
945.8,0.3848401082173784,83
362.9,0.39979621840111684,84
365.8333333333333,0.45225121347115316,85
938.3333333333334,0.36176866644119,86
324.8666666666667,0.8426056099948106,87
646.8333333333334,0.6909783515375768,88
359.6333333333333,0.4819978790023951,89
209.7,0.9914602115389843,90
380.96666666666664,0.7097044429367034,91
379.5,0.464993381707119,92
209.7,0.9936309414863448,93
249.26666666666668,0.9742536825822686,94
240.9,0.9582961184913279,95
1211.0333333333333,0.3602552520065724,96
240.9,0.9550823643116265,97
938.3333333333334,0.36177173875575547,98
224.93333333333334,0.99901532977164,99
209.7,0.9914638896665459,100
234.46666666666667,0.9945056787199634,101
637.1666666666666,0.4688218748624421,102
217.13333333333333,0.9841478401296364,103
936.0,0.37328404952387517,104
335.6,0.7707357246900151,105
1494.2333333333333,0.3630937674507459,106
1993.5333333333333,0.22749840413022654,107
217.13333333333333,0.9837412349818966,108
236.8,0.9889284617055377,109
1223.2333333333333,0.376300004881373,110
209.7,0.9903855323419443,111
363.26666666666665,0.7522867114101806,112
234.46666666666667,0.9965312861770699,113
255.63333333333333,0.976838927187042,114
224.93333333333334,0.9993440309359498,115
248.46666666666667,0.9622584225658224,116
362.7,0.4813990773779526,117
234.46666666666667,0.9945357538578914,118
322.76666666666665,0.8974739563785695,119
365.26666666666665,0.5102753990765557,120
234.46666666666667,0.9970984105993776,121
234.46666666666667,0.9952658386504035,122
515.0666666666667,0.9435011296807388,123
355.8333333333333,0.7430226772079294,124
352.46666666666664,0.5209106738557626,125
296.96666666666664,0.9227543520931597,126
358.73333333333335,0.4545863479417265,127
333.1666666666667,0.7744903780384856,128
249.26666666666668,0.9718470947400564,129
248.46666666666667,0.9594059830684832,130
646.6,0.6090467748337535,131
234.46666666666667,0.9978500213071275,132
248.76666666666668,0.9678315190329091,133
1211.0333333333333,0.3586600187692005,134
369.46666666666664,0.5547415838177442,135
356.93333333333334,0.5330801245960932,136
209.7,0.993278699752912,137
234.46666666666667,0.9945357538578914,138
301.46666666666664,0.894433117248783,139
234.46666666666667,0.9977281066042807,140
249.26666666666668,0.9742851155970369,141
234.46666666666667,0.9949667624609015,142
239.0,0.9788359526757558,143
355.8333333333333,0.7430226772079294,144
352.46666666666664,0.521058424589472,145
2129.0,0.30458291099320856,146
358.73333333333335,0.4545863479417265,147
663.4333333333333,0.3801086917318549,148
363.26666666666665,0.7528949959183452,149
224.93333333333334,0.9981335428545564,150
209.7,0.9927157617045724,151
366.76666666666665,0.42849565460069483,152
376.96666666666664,0.4418605220168662,153
352.46666666666664,0.5207911575188545,154
365.26666666666665,0.5130907362089427,155
288.8666666666667,0.9379741926787952,156
515.0666666666667,0.9446733092697877,157
234.46666666666667,0.9943961202740323,158
635.8,0.5582530860843794,159
1221.5333333333333,0.40163099449663164,160
224.93333333333334,0.9984672906441636,161
356.6,0.7034824884336193,162
341.93333333333334,0.8254924156202312,163
238.5,0.9650342079277741,164
1223.2333333333333,0.3771502056019891,165
355.8,0.4609131745137887,166
364.3,0.5355653667069056,167
335.76666666666665,0.7781811635893477,168
249.26666666666668,0.9719523118440936,169
372.96666666666664,0.6778478210591271,170
364.3,0.5359229782954735,171
637.1666666666666,0.4682450831623404,172
234.46666666666667,0.9975259403730679,173
652.0,0.3959071728146588,174
352.46666666666664,0.5184551640436512,175
364.3,0.6150483351236117,176
217.13333333333333,0.9838771213324025,177
240.9,0.9584886817940641,178
936.0,0.3735654352747948,179
2122.733333333333,0.31946473983944346,180
239.0,0.9814783800552288,181
334.8666666666667,0.7382388998139031,182
1511.6333333333334,0.3936185121967798,183
248.46666666666667,0.9615967498680691,184
2524.6,0.2876749552254192,185
963.9,0.37465011896861605,186
369.46666666666664,0.5536807747813276,187
363.26666666666665,0.7528949959183452,188
347.53333333333336,0.7801291789745728,189
