f0,f1,x0
-0.43333333333333335,209.7,0.9927157617045724
-0.43333333333333335,209.7,0.9903855323419443
-0.8666666666666667,936.0,0.3735654352747948
-0.8666666666666667,936.0,0.37328404952387517
-0.8,649.1666666666666,0.3928712431443392
-0.7666666666666667,356.93333333333334,0.5330801245960932
-0.8333333333333334,663.4333333333333,0.3801086917318549
-0.6,347.53333333333336,0.7801291789745728
-0.5666666666666667,333.1666666666667,0.7744903780384856
-0.7,352.46666666666664,0.5184551640436512
-0.5333333333333333,240.9,0.9584886817940641
-0.5,238.5,0.9650342079277741
-0.4666666666666667,234.46666666666667,0.9945050844202081
-0.7,352.46666666666664,0.5207911575188545
-0.4666666666666667,234.46666666666667,0.9975259403730679
-0.7333333333333333,355.8,0.46048409321730555
-0.5333333333333333,240.9,0.9582961184913279
-0.7333333333333333,355.8,0.4609131745137887
-0.4666666666666667,234.46666666666667,0.9949667624609015
-0.43333333333333335,209.7,0.993278699752912



